name,address,website,emails,rating,source
Molly Maid of Central Portland,"6645 NE 78th Ct C-1, Portland, OR 97218, USA",https://www.mollymaid.com/locations/oregon/central-portland/,,4.8,Google
Tidy Up Portland,"6424 SE 77th Ave, Portland, OR 97206, USA",https://www.tidyupportland.com/,,4.9,Google
Maid To Shine Cleaning,"205 SE Spokane St suite 318, Portland, OR 97202, USA",https://www.maidtoshinecleaning.com/,,5,Google
Honey Bee Cleaning,"1123 NE Tillamook St, Portland, OR 97212, USA",https://honeybeecleaningservice.com/,,4.9,Google
Rise and Shine Cleaning Service,"2455 NW Nicolai St Suite B-E13, Portland, OR 97210, USA",https://shine-this.com/,,4.8,Google
Sparkling Palaces,"2937 E Burnside St, Portland, OR 97214, USA",http://www.sparklingpalaces.com/,,4.9,Google
The Maids,"8414 SW Barbur Blvd Ste 100, Portland, OR 97219, USA",http://www.maidshillsdale.com/,,4.9,Google
The Maids,"2574 NW Thurman St Ste 100, Portland, OR 97210, USA",http://www.maidsportland.com/,,4.8,Google
Nexus Commercial Cleaning Portland,"555 SE Martin Luther King Jr Blvd, Portland, OR 97214, USA",https://nexuscommercialcleaning.com/,,5,Google
7 Seven Cleaning Services,"11115 NE 61st Ct, Vancouver, WA 98686, USA",https://7sevencleaning.com/,,4.9,Google
Green Gloss Cleaners,"1130 SE Morrison St, Portland, OR 97214, USA",http://www.greenglosscleaners.com/,,4.9,Google
Cleanly,"1011 SE Oak St, Portland, OR 97214, USA",http://cleanlypdx.com/,,5,Google
MGS Pro Cleaning Services LLC,"4949 SE 26th Ave Suite #104, Portland, OR 97202, USA",https://mgsprocleaningservices.com/,,5,Google
Superb Maids Portland,"8345 SE 28th Ave, Portland, OR 97202, USA",http://www.superbmaidsportland.com/,,5,Google
Top Tier Cleaning Service,"11912 NE Sumner St, Portland, OR 97220, USA",https://toptiercleaningservice.com/,,5,Google
The Maids,"5311 SE Powell Blvd, Portland, OR 97206, USA",https://housecleanersportland.com/,,5,Google
Mountain Shine Cleaning,"NW, Portland, OR 97220, USA",https://www.mtshinecleaning.com/,,5,Google
