name,address,website,emails,rating,source
Mr. Electric of Portland,"5933 NE Win Sivers Dr #205, Portland, OR 97220, USA",https://mrelectric.com/portland-or/?cid=LSTL_MRE000196&utm_source=gmb&utm_campaign=local&utm_medium=organic,,4.8,Google
Portland Metro Electric,"8415 SE Hinkley Ave, Happy Valley, OR 97086, USA",https://www.portlandmetroelectric.com/,,5,Google
Young Electric LLC,"9999 SW Wilshire St # 221, Portland, OR 97225, USA",https://youngelectricco.com/?utm_source=google&utm_medium=organic&utm_campaign=portland-gbp-main,,4.8,Google
West Side Electric Company,"1834 SE 8th Ave, Portland, OR 97214, USA",http://www.westsideelectric.com/?utm_source=GMB&utm_medium=Website,,4.9,Google
"Smiley Electric, Inc. 🙂 Portland Electricians","820 N River St #205, Portland, OR 97227, USA",http://smileyelectric.net/,,4.7,Google
Gerryn Energy,"12023 NE Sumner St, Portland, OR 97220, USA",https://www.gerrynenergy.com/,,5,Google
Falcon Electric,"10180 SW Park Way # C, Portland, OR 97225, USA",https://callfalcon.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_id=GBP,,4.8,Google
Mr. Electric of Vancouver,"418 NE Repass Rd # B1, Vancouver, WA 98665, USA",https://mrelectric.com/vancouver-portland/?cid=LSTL_MRE000196&utm_source=gmb&utm_campaign=local&utm_medium=organic,,4.8,Google
Mike's Electric,"11070 SW Allen Blvd, Beaverton, OR 97005, USA",http://www.mikeselectric.biz/,,4.8,Google
Rose City Electric Co,"2150 NW 29th Ave, Portland, OR 97210, USA",http://www.rosecityelectricco.com/,,3.8,Google
Lucky Electric LLC,"9115 SW Club Meadow Ln, Portland, OR 97225, USA",https://www.luckyelectricpdx.com/,,5,Google
White Lightning Electric,"7524 SE 52nd Ave, Portland, OR 97206, USA",https://www.whitelightningpdx.com/,,4.9,Google
Callahan Electric,"1623 SE Lafayette St, Portland, OR 97202, USA",http://callahanelectricpdx.com/,,4.9,Google
Precision NW Electrical Contractors,"14200 SE McLoughlin Blvd, Portland, OR 97267, USA",https://precisionnw.com/,,4.7,Google
Tice Electric Company,"5405 N Lagoon Ave, Portland, OR 97217, USA",http://www.ticeelectric.com/,,4.6,Google
Oakley Electric,"a, 4120 SE International Way #102, Portland, OR 97222, USA",http://www.oakleyelec.com/,,4.3,Google
Cloud City Electric,"2355 NE 134th Pl, Portland, OR 97230, USA",https://www.cloudcityelectric.com/,,5,Google
Alameda Electric LLC,"3415 NE 44th Ave, Portland, OR 97213, USA",https://www.alamedaelectricpdx.com/,,4.3,Google
Sun Glow Inc.,"2428 SE 105th Ave, Portland, OR 97216, USA",https://sunglowinc.com/?utm_source=organic&utm_medium=gbp,,4.9,Google
Shift Electric Co.,"1001 SE Sandy Blvd Suite 110, Portland, OR 97214, USA",https://www.shiftelectricco.com/,,4.9,Google
