name,address,website,emails,rating,source
AAA Heating & Cooling,"6040 N Cutter Cir #303, Portland, OR 97217, USA",https://aaaheatingandcoolinginc.com/,,4.9,Google
Sunset Heating & Cooling,"607 S Idaho St #100, Portland, OR 97239, USA",https://www.sunsethc.com/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*197*sunset-heating-portland,,4.8,Google
Efficiency Heating & Cooling,"4409 SE 24th Ave Suite 35, Portland, OR 97202, USA",https://www.eheatcool.com/,,4.9,Google
Pyramid Heating & Cooling,"9409 NE Colfax St, Portland, OR 97220, USA",https://www.pyramidheating.com/,,4.8,Google
"Sky Heating, AC, Plumbing & Electrical","19305 SW Teton Ave, Tualatin, OR 97062, USA",https://skyheating.com/,,4.9,Google
"Jacobs Heating & Air Conditioning, Inc.","4474 SE Milwaukie Ave, Portland, OR 97202, USA",https://jacobsheating.com/?utm_source=GoogleMyBusiness&utm_medium=organic,,4.3,Google
Sun Glow Inc.,"2428 SE 105th Ave, Portland, OR 97216, USA",https://sunglowinc.com/?utm_source=organic&utm_medium=gbp,,4.9,Google
Rose City Heating & Air,"8946 SW Barbur Blvd, Portland, OR 97219, USA",http://www.rosecityheating.com/,,4.9,Google
"Sky Heating, AC, Plumbing & Electrical","530 NE Liberty Ave, Gresham, OR 97030, USA",https://skyheating.com/,,4.9,Google
Heating & Air Conditioning of Portland,"3708 SE Hawthorne Blvd, Portland, OR 97214, USA",,,5,Google
"Cornel's Plumbing, Heating & Air Conditioning","14271 NW Science Park Dr, Portland, OR 97229, USA",https://cornelsplumbing.com/?utm_source=gbp&utm_medium=organic,,4.9,Google
Efficiency Heating & Cooling,"14913 SE Kellogg Ave, Milwaukie, OR 97267, USA",https://www.eheatcool.com/service-areas/milwaukie,,4.9,Google
Heat Relief Heating & Cooling,"13122 NE David Cir STE 800, Portland, OR 97230, USA",https://www.heatrelieftoday.com/?utm_campaign=Google+My+Business&utm_source=GMB&utm_medium=organic&utm_content=Website,,4.8,Google
Able Heating & Cooling LLC,"16285 SW 85th Ave #105, Tigard, OR 97224, USA",http://www.ableheatingandcooling.com/,,4.9,Google
Prime Portland HVAC Services,"9757 SE 82nd Ave, Happy Valley, OR 97086, USA",https://primeportlandhvacservices.com/,,5,Google
Portland Air Conditioning & Heating,"1500 NW 21st Ave, Portland, OR 97209, USA",,,4.3,Google
"Cornel's Plumbing, Heating & Air Conditioning","4015 SE 56th Ave, Portland, OR 97206, USA",https://cornelsplumbing.com/east-portland-plumbers/?utm_source=gbp&utm_medium=organic&utm_campaign=east,,4.9,Google
Tru Air Heating and Cooling LLC,"1013 NE 62nd Ave, Portland, OR 97213, USA",http://truairpdx.com/,,4.7,Google
Comfort Solutions Heating & Cooling,"211 SE Madison St Suite 12, Portland, OR 97214, USA",https://comfortsolutionspdx.com/,,4.9,Google
Watts Heating & Cooling,"17500 SE McLoughlin Blvd, Milwaukie, OR 97267, USA",https://wattsheating.com/?utm_campaign=gmb&utm_id=watts_gmb_website&utm_medium=organic&utm_source=google,,4.9,Google
