name,address,website,emails,rating,source
Flow Roofing and Gutters,"555 SE Martin Luther King Jr Blvd Suite 105, Portland, OR 97214, USA",https://flowroofing.us/,,4.9,Google
IBEX Roof,"3701 SE Milwaukie Ave suite d, Portland, OR 97202, USA",https://www.ibexroof.com/roofing-company-portland/?utm_source=google&utm_medium=gmb&utm_campaign=gmbpor,,4.9,Google
Portland Roofing Company LLC,"14415 SE Stark St, Portland, OR 97233, USA",https://www.portlandroofingco.com/,,4.5,Google
Geek Roofing,"500 SW 116th Ave suite #66, Portland, OR 97225, USA",http://geekroofingpdx.com/,,5,Google
KVN Portland Roofing,"5832 SE 85th Ave, Portland, OR 97266, USA",https://www.kvnconstruction.com/portland-roofing-contractors/,,5,Google
All Roofing Eagle Construction Inc,"8200 SE 162nd Ave, Portland, OR 97236, USA",https://allroofingeagle.com/,,4.9,Google
Flow Roofing & Gutters Washington,"1013 NE 62nd Ave, Portland, OR 97213, USA",https://flowroofing.us/,,5,Google
Certified Roofing Services​ Portland | Roofing Company Portland​ | Roofers Portland,"11918 SE Division St #218, Portland, OR 97266, USA",https://certifiedroofingservicesportland.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-website-link,,4.9,Google
Interstate Roofing,"15065 SW 74th Ave, Portland, OR 97224, USA",https://www.interstateroofing.com/?=gbp&utm_campaign=gmb,,4.8,Google
Roof Roof Roofing PDX,"8508 SE Alder St, Portland, OR 97216, USA",https://roofroofingpdx.com/,,5,Google
Tonys Roofing,"4450 SE 125th Ave, Portland, OR 97236, USA",https://tonysroofingllc.com/,,4.9,Google
River City Roofing Portland,"6641 SE Lake Rd, Portland, OR 97222, USA",https://roofrivercity.com/portland-roofing-company/?utm_source=GBP&utm_medium=Organic&utm_campaign=GBP_Website_Clicks,,4.9,Google
Northwest Roof Tech,"5360 NE 112th Ave, Portland, OR 97220, USA",https://nwrooftech.com/,,4.8,Google
Cascade Roofing Portland,"6950 SW Hampton St, Portland, OR 97223, USA",https://www.cascaderoofingportland.com/,,4.7,Google
Tom Leach Roofing,"4120 SE International Way a102, Milwaukie, OR 97222, USA",http://tomleachroofing.net/,,4.9,Google
West Coast Roofing and Painting Inc,"10836 NE Marx St, Portland, OR 97220, USA",https://wcroofingportland.com/?utm_source=googlemap&utm_medium=organic&utm_campaign=googlebusinessprofile,,4.8,Google
USA Roofing & Waterproofing LLC,"6423 NW St Helens Rd, Portland, OR 97210, USA",https://www.usaroofingpdx.com/,,4.9,Google
Golden Hawk Roofing,"6826 N Sedro St, Portland, OR 97203, USA",http://www.goldenhawkroof.com/,,5,Google
Premier Roofers,"1974 SW 5th Ave, Portland, OR 97201, USA",https://premier-roofers.ueniweb.com/?utm_campaign=gmb,,4.9,Google
RoofTek,"8885 SW Canyon Rd, Portland, OR 97225, USA",https://rooftek.com/location-home/portland/?s=portland,,4.8,Google
