name,address,website,emails,rating,source
The Cleanup Guys,"2206 W Emerson St, Seattle, WA 98199, USA",https://cleanupguys.com/,,4.9,Google
Maid Service Seattle,"1700 Westlake Ave N #200, Seattle, WA 98109, USA",https://www.seattlegreenmaids.com/,,5,Google
Ladonna's Cleaning Service,"9535 Fremont Ave N, Seattle, WA 98103, USA",http://www.ladonnascleaningseattle.com/?utm_source=google&utm_medium=local&utm_campaign=gmb,,4.7,Google
The Dazzle Cleaning Company,"5700 6th Ave S Suite 212, Seattle, WA 98108, USA",https://dazzlecompany.com/,,4.7,Google
MOLLY MAID of Northwest Seattle,"10031 Holman Rd NW Suite A, Seattle, WA 98177, USA",https://www.mollymaid.com/locations/washington/shoreline/,,4.8,Google
Diamond Cleaners USA,"2410 S 128th St, Seattle, WA 98168, USA",https://diamondcleanersusa.com/seattle/,,4.7,Google
THA House Cleaning Seattle,"3400 Harbor Ave SW UNIT 113, Seattle, WA 98116, USA",https://www.thacleaning.com/,,4.8,Google
Meekas cleaning services llc,"1215 Seneca St, Seattle, WA 98101, USA",https://www.meekascleaningservicesllc.com/,,4.9,Google
Vladimir & Olga Cleaning Service,"2715 25th Ave S Unit 707, Seattle, WA 98144, USA",https://www.cleaninginseattlevladiolga.com/,,5,Google
Hometress Cleaning Service LLC,"5608 17th Ave NW, Seattle, WA 98107, USA",https://www.hometress.com/seattle/,,5,Google
Puget Sound Cleaners,"4735 22nd Ave NE, Seattle, WA 98105, USA",https://pugetsoundcleaners.com/seattle/?utm_source=GBP&utm_medium=business_profile&utm_campaign=gbp,,4.8,Google
Kelian - Cleaning Services,"600 1st Ave Ste 102, Seattle, WA 98104, USA",https://www.keliancleaningwa.com/,,5,Google
Simply Clean,"1818 Westlake Ave N, Seattle, WA 98109, USA",https://www.seattlesimplyclean.com/,,4.9,Google
Seattle Green Earth Cleaning,"1037 NE 65th St Suite #178, Seattle, WA 98115, USA",http://www.seattlegec.com/,,5,Google
April Lane's Home Cleaning,"900 1st Ave S Suite 110, Seattle, WA 98134, USA",http://www.aprillanescleaning.com/,,4.8,Google
Queen Anne Cleaning Services,"1428 Queen Anne Ave N, Seattle, WA 98109, USA",https://queenannecleaning.com/,,4.9,Google
Susan's Green Cleaning,"17749 11th Ave NE, Shoreline, WA 98155, USA",https://www.susansgreencleaning.com/,,4.9,Google
YEMAYA cleaning service,"1236 S Rose St, Seattle, WA 98108, USA",http://www.yemayahousecleaning.com/,,4.9,Google
