name,address,website,emails,rating,source
As You Wish Electric,"825 S Stacy St, Seattle, WA 98134, USA",https://asyouwishelectric.com/?utm_source=google&utm_medium=gbp&se_campaign=Google%20Business%20Profile,,4.9,Google
First Property Electrician Seattle,"6656 Corson Ave S, Seattle, WA 98108, USA",,,5,Google
Mr. Electric of Greater Seattle,"1720 4th Ave S Suite B, Seattle, WA 98134, USA",https://mrelectric.com/greater-seattle/?cid=LSTL_MRE000196&utm_source=gmb&utm_campaign=local&utm_medium=organic,,4.5,Google
Crimson City Electric,"8445 55th Ave S, Seattle, WA 98118, USA",https://crimsoncityelectric.com/,,5,Google
Home Electricіan Seattle,"916 Maynard Ave S, Seattle, WA 98134, USA",,,5,Google
Home Electrician Seattle,"910 S Hinds St, Seattle, WA 98134, USA",,,5,Google
Home Electricіan Seattle,"449 Madison St, Seattle, WA 98164, USA",,,5,Google
Brady Electric,"4412 California Ave SW West, Seattle, WA 98116, USA",https://www.bradyselectric.com/,,5,Google
"South West Plumbing, Heating, Air, & Electric","825 S Stacy St, Seattle, WA 98134, USA",https://onetocall.com/?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Seattle-WA,,5,Google
"Eco Electric, Plumbing, Heating and Air","126 S Spokane St, Seattle, WA 98134, USA",https://www.ecoserviceswa.com/?utm_source=gmb-seattle&utm_medium=organic,,4.9,Google
Seattle Rapid Neighborhood Electricians,"16259 Sylvester Rd SW #9200, Burien, WA 98166, USA",https://benchmarkseattle.com/,,4.7,Google
Same Day Electrician Seattle,"1141 20th Ave E, Seattle, WA 98112, USA",https://mrelectric.com/greater-seattle,,4.5,Google
Home Electricіan Seattle,"2318 California Ave SW, Seattle, WA 98116, USA",,,5,Google
Seattle Electric Contractors,"1916 Occidental Ave S, Seattle, WA 98134, USA",,,5,Google
Jacob Electric LLC,"1400 112th Ave SE, Bellevue, WA 98004, USA",http://www.jacobelect.com/,,4.1,Google
Harmony Electric LLC,"6947 Coal Creek Pkwy SE, Newcastle, WA 98059, USA",https://harmonyelectricseattle.com/,,5,Google
Sparky Electricians Seattle,"520 Pike St # 21, Seattle, WA 98101, USA",,,5,Google
"Beacon Plumbing, Heating, Electrical & Mechanical Inc - Seattle","515 7th Ave S, Seattle, WA 98104, USA",https://www.beaconplumbing.net/,,4.5,Google
On Call Electrician Seattle,"2763 5th Ave S, Seattle, WA 98104, USA",,,4.6,Google
4th Systems,"11235 26th Ave SW, Seattle, WA 98146, USA",http://www.4thsystems.com/,,5,Google
