Town,State,Population
Kalamazoo,TN,32405
Brookings,ME,68932
Gainesville,NM,51184
Santa Fe,MD,223918
Valdosta,AK,246731
Eugene,WV,51243
Staunton,MS,224441
Paducah,MT,98669
Cheyenne,AK,124063
Rapid City,OH,185005
Kalamazoo,AR,180400
Bismarck,NV,108190
Grand Junction,DE,141271
Staunton,KY,93564
Owensboro,ME,142394
Waipahu,MD,221519
Lynchburg,TX,142101
Midland,CT,198635
Waipahu,IA,143242
Billings,IA,30979
Olympia,KS,51670
St. Cloud,AL,217383
Roanoke,HI,236648
Cheyenne,NV,140066
Kalamazoo,TX,116165
Yuma,KY,234461
Hattiesburg,WA,185661
Waipahu,ID,113893
Lubbock,OH,177046
Bend,FL,28133
Olympia,TX,241805
Wenatchee,IL,214126
Waipahu,NC,147672
Rockford,WI,153622
Lewiston,TX,230054
Fargo,MN,92020
Troy,TN,42832
Owensboro,IA,40926
Dover,IL,199048
Salem,ID,220174
Hot Springs,NM,62006
Burlington,WV,56248
Wenatchee,VT,182404
Idaho Falls,MO,122036
Hot Springs,MA,110061
Cedar Rapids,PA,67534
Nampa,AZ,111856
Billings,CT,46761
Spokane Valley,VT,222344
Lake Havasu,NY,222064
Grand Junction,PA,234339
Tyler,OR,231232
Charlottesville,CO,95636
Helena,TX,123615
Midland,NH,73477
Nampa,OR,162695
Pensacola,MT,174372
Spokane Valley,WA,248076
Beaverton,MD,186931
Charlottesville,ME,189739
Billings,NY,149541
Springfield,NC,155233
Kingsport,GA,136456
Hot Springs,CT,90248
Missoula,UT,130171
Bend,TX,103084
Nampa,AR,176169
Knoxville,NY,23101
Auburn,UT,33457
Clarksville,IA,204308
Vicksburg,MD,217631
Casper,OH,92251
Eugene,AK,95635
Olympia,VA,199696
Greenville,LA,147379
Billings,OR,26059
Yakima,MT,243263
Hattiesburg,NY,63709
Tupelo,NE,203458
Spartanburg,IN,151470
Lafayette,NM,59765
Midland,NH,31265
Stillwater,SC,194694
Tifton,KY,163839
Kalamazoo,SC,38933
Kennewick,TN,53020
Helena,AR,66435
Brookings,NC,49687
Waipahu,MT,226882
Spokane Valley,SD,28282
Conway,VT,135060
Greenville,MD,34894
Ruston,VA,163022
Wenatchee,OK,132034
Waipahu,WV,113248
Roanoke,CT,120422
Holland,WY,91933
Vicksburg,NJ,90362
Valdosta,IA,210704
Watertown,MT,231465
Nampa,OK,230354
Burlington,OH,36622
Tupelo,VT,105718
Champaign,AK,35832
Pierre,AL,120410
Clarksville,IL,51601
Waipahu,WA,224244
Spokane Valley,VT,214362
San Marcos,NH,45113
Casper,UT,96795
Medford,NC,49420
Muskegon,AL,77590
Redding,NE,71252
Savannah,WI,182534
Greenville,GA,208741
Stillwater,FL,119345
Helena,VA,117239
Hot Springs,MS,108613
Cheyenne,WI,142498
Clarksville,ME,65235
Rapid City,IN,96702
Sumter,WA,146520
Hendersonville,NE,61856
Killeen,NY,143016
Salem,CA,59736
Lafayette,DE,133957
Yuma,CO,102494
Ithaca,ND,209198
Rapid City,IA,182709
Billings,HI,245020
Staunton,NC,47357
Stevens Point,OH,34874
Yuma,UT,208298
Lynchburg,IA,128746
Spokane Valley,NY,129675
Kalamazoo,ND,204485
Cheyenne,NE,237092
Lafayette,MA,118859
Savannah,MT,134012
